DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-09-10 15:12:06.269,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10955071,0.1702,-0.7764,0.2788,-0.5390,0.4898,-1.1462,-0.0059,0
10955237,0.1648,-0.7722,0.2751,-0.5486,0.4826,-1.0160,0.2028,0
10955404,0.1594,-0.7679,0.2716,-0.5579,0.6688,-0.6666,0.2471,0
10955571,0.1544,-0.7632,0.2676,-0.5675,0.5267,-0.5537,0.3039,0
10955737,0.1495,-0.7583,0.2634,-0.5773,0.2513,-0.6759,0.2313,0
10955904,0.1442,-0.7533,0.2596,-0.5868,0.2944,-0.8892,0.0221,0
10956071,0.1385,-0.7486,0.2564,-0.5955,0.3361,-0.8683,0.0787,0
10956237,0.1327,-0.7440,0.2535,-0.6038,0.3124,-0.5064,0.1756,0
10956404,0.1273,-0.7396,0.2506,-0.6116,0.2944,-0.2968,0.2677,0
10956571,0.1225,-0.7352,0.2475,-0.6190,0.2526,-0.1073,0.2860,0
10956737,0.1183,-0.7308,0.2440,-0.6264,0.1947,-0.2209,0.4018,0
10956904,0.1141,-0.7264,0.2408,-0.6335,0.0144,-0.2986,0.3073,0
10957071,0.1096,-0.7221,0.2383,-0.6401,0.0184,-0.4557,0.1213,0
10957237,0.1045,-0.7181,0.2369,-0.6460,0.1293,-0.4051,0.1802,0
10957404,0.0995,-0.7141,0.2356,-0.6516,0.1274,0.0452,0.3965,0
10957571,0.0952,-0.7102,0.2341,-0.6571,-0.0126,0.3223,0.3592,0
10957737,0.0914,-0.7067,0.2325,-0.6620,-0.0734,0.0621,0.0454,0
10957904,0.0873,-0.7035,0.2321,-0.6661,-0.0247,-0.6236,-0.0851,0
10958071,0.0823,-0.7005,0.2338,-0.6692,-0.0133,-0.5539,0.1126,0
10958237,0.0769,-0.6977,0.2364,-0.6719,-0.0534,0.1881,0.2208,0
10958404,0.0722,-0.6949,0.2384,-0.6746,-0.0910,0.6375,0.4305,0
10958571,0.0689,-0.6925,0.2391,-0.6771,-0.2779,0.5983,0.1391,0
10958737,0.0669,-0.6909,0.2395,-0.6789,-0.3901,0.3689,-0.1658,0
10958904,0.0659,-0.6900,0.2401,-0.6796,-0.3594,0.0316,-0.3601,0
10959071,0.0657,-0.6898,0.2413,-0.6794,-0.3963,0.0477,-0.2267,0
10959237,0.0662,-0.6902,0.2424,-0.6786,-0.5187,0.4442,-0.1112,0
10959404,0.0678,-0.6910,0.2429,-0.6775,-0.7859,0.3082,-0.1980,0
10959571,0.0694,-0.6920,0.2438,-0.6759,-0.8369,-0.2083,-0.1401,0
10959737,0.0703,-0.6936,0.2458,-0.6735,-0.8885,-0.4307,-0.2932,0
10959904,0.0704,-0.6957,0.2495,-0.6700,-1.0760,-0.3403,-0.4245,0
10960071,0.0703,-0.6987,0.2549,-0.6648,-1.0511,-0.1558,-0.4707,0
10960237,0.0708,-0.7025,0.2610,-0.6583,-0.8305,0.3033,-0.0418,0
10960404,0.0730,-0.7067,0.2656,-0.6516,-0.5203,0.6501,0.4619,0
10960571,0.0771,-0.7110,0.2677,-0.6457,-0.6964,0.8021,0.8202,0
10960737,0.0824,-0.7150,0.2683,-0.6403,-0.5728,0.0949,0.6462,0
10960904,0.0872,-0.7190,0.2690,-0.6349,-0.4307,-0.9604,0.2060,0
10961071,0.0907,-0.7230,0.2714,-0.6288,-0.2593,-0.9882,0.1222,0
10961237,0.0936,-0.7270,0.2744,-0.6224,-0.1044,-0.5015,0.4586,0
10961404,0.0968,-0.7308,0.2767,-0.6164,0.0059,-0.0862,0.8037,0
10961571,0.1005,-0.7344,0.2782,-0.6108,0.1332,-0.4182,0.5716,0
10961737,0.1037,-0.7380,0.2802,-0.6050,0.0670,-0.9005,0.1672,0
10961904,0.1062,-0.7422,0.2842,-0.5976,-0.0088,-0.8624,-0.1621,0
10962071,0.1089,-0.7472,0.2903,-0.5878,0.1342,-0.3991,-0.1927,0
10962237,0.1130,-0.7528,0.2961,-0.5770,0.9730,0.1279,0.3004,0
10962404,0.1199,-0.7578,0.2988,-0.5675,0.9070,0.9465,1.1962,0
10962571,0.1294,-0.7623,0.2990,-0.5593,0.4128,0.2733,0.9512,0
10962737,0.1381,-0.7667,0.2995,-0.5508,0.1497,-1.6196,-0.1654,0
10962904,0.1438,-0.7716,0.3035,-0.5402,0.2983,-2.2352,-0.1577,0
10963071,0.1478,-0.7770,0.3106,-0.5271,0.7531,-1.0285,0.4278,0
10963237,0.1532,-0.7823,0.3171,-0.5138,1.3431,-0.0209,0.8830,0
10963404,0.1616,-0.7869,0.3205,-0.5019,0.8663,0.5611,1.3184,0
10963571,0.1722,-0.7911,0.3220,-0.4907,0.4228,-0.4705,0.7973,0
10963737,0.1827,-0.7955,0.3234,-0.4788,0.3647,-1.5680,0.2233,0
